proverb,conversation,explanation,answer1,answer2,is_figurative,answer_key
Seperti anjing bercawat ekor,Orang 1: Kenapa kamu tidak mau tampil di depan umum? Orang 2: Saya malu karena kemarin melakukan kesalahan di depan banyak orang. Orang 1: Jangan seperti anjing bercawat ekor.,pergi atau menghindar karena merasa malu.,Harus menghadapi kesahalan tanpa harus menghindar.,Kita harus pergi dari lingkungan yang tidak mendukung kita.,1.0,a
Manikam sudah menjadi sekam,Orang 1: Apa kabar barang antikmu? Orang 2: Sudah tidak terawat dengan baik. Manikam sudah menjadi sekam.,sesuatu yang berubah menjadi tidak berguna lagi.,Barang antik turun harga.,Barang antik sudah tidak berguna lagi.,1.0,b
Tercacak seperti lembing tergadai,"Orang 1: Kamu tadi kok terdiam saja di dalam rapat? Orang 2: Aku bingung mau bicara apa, jadi tercengang-cengang saja. Orang 1: Ah, kamu harus belajar untuk lebih percaya diri. Jangan sampai tercacak seperti lembing tergadai di depan orang banyak. Orang 2: Benar juga, terima kasih atas nasihatnya.",tertegun / terdiam tercengang-cengang dalam suatu majelis karena tak tahu membawakan diri.,Orang 1 mengingatkan orang 2 untuk jangan tercengang lagi dalam majelis.,Orang 1 mengingatkan orang 2 bahwa selalu ada proses sehingga bisa berpendapat dengan percaya diri.,1.0,a
Tiada membesarkan air,"Orang 1: Aku merasa sedih karena tidak mendapat undangan ke pesta itu. Orang 2: Jangan sedih, itu tidak penting. Tiada membesarkan air.",tidak penting; tidak berarti.,Tidak perlu undangan untuk hadir.,Undangan tersebut tidak berarti.,1.0,b
"Tiba di dada dibusungkan, tiba di perut dikempiskan","Orang 1: Apa pendapatmu tentang keputusan pengadilan kemarin? Orang 2: Menurutku, tidak adil. Tiba di dada dibusungkan, tiba di perut dikempiskan.","berlaku tidak adil dalam memutuskan suatu perkara, keluarga sendiri diuntungkan dan orang lain dirugikan.",Keputusan pengadilan menguntungkan keluarga sendiri dan merugikan orang lain.,Keputusan pengadilan tak hanya menguntungkan keluarga sendiri tapi juga orang lain.,1.0,a
"Tunggang hilang tak hilang, tunggang mati tak mati","Orang 1: Saya sudah mencoba berkali-kali, tapi masih belum berhasil mencapai tujuan saya. Orang 2: Jangan menyerah, tunggang hilang tak hilang, tunggang mati tak mati. Terus berjuang sampai berhasil!",orang yang keras hati / kuat kemauan biasanya akan mendapat / mencapai maksud dan cita-citanya.,Kemauan keras harus dibarengin dengan usaha yang cukup.,Yang berkemauan keras akan berhasil mencapai yang diinginkan.,1.0,b
Sudah beruban baru bergaum,"Orang 1: Kamu tahu siapa itu Pak Tono? Dia sudah berusia 60 tahun tapi masih sering keluar malam dan bergaul dengan anak muda.  Orang 2: Wow, dia seperti tidak pernah memikirkan usia ya.  Orang 1: Ya benar, dia sudah beruban baru bergaum.",1. orang tua yang pesolek seperti orang muda; 2. lupa umur.,Pak Tono berjiwa muda meski sudah tua.,Pak Tono suka hang-out dengan anak-anak muda.,1.0,a
"Silap mata, pecah kepala","Orang 1: Aku tidak suka mengendarai motor di jalan raya yang padat. Tapi kadang-kadang aku terpaksa karena terlambat.  Orang 2: Kamu harus lebih waspada, kalau tidak bisa silap mata, pecah kepala.",kalau tidak waspada maka bahaya akan selalu mengancam.,Harus waspada di jalan raya karena jalanan berbahaya,Harus waspada di jalan raya dan mematuhi rambu lalu lintas,1.0,a
Orang yang runcing tanduk,"Orang 1: Kamu tahu siapa itu Pak Hadi? Orang 2: Ya, dia adalah seorang penipu ulung. Orang 1: Benar sekali, orang yang runcing tanduk.",orang yang sudah dikenal akan kejahatannya.,Semua orang kaget mengetahui Hadi sebagai seorang penipu.,Semua orang kenal Hadi karena kejahatannya.,1.0,b
"Kalau kail panjang sejengkal, jangan laut hendak diduga","Orang 1: Saya ingin berdebat dengan pakar bahasa Indonesia. Orang 2: Kalau kail panjang sejengkal, jangan laut hendak diduga.",kalau belum mempunyai banyak ilmu pengetahuan / pengalaman jangan dicoba berlawanan dengan orang yang pandai.,Jangan mendebat orang yang berilmu.,Berdiskusi dengan orang yang berilmu.,0.0,a
"Tidak ingat badan celaka, ingat amat badan binasa","Orang 1: Aku takut mencoba hal baru, takut gagal. Orang 2: Tapi ingatlah, tidak ingat badan celaka, ingat amat badan binasa.","bila tidak hati-hati dalam kedhidupan hampir pasti akan beroleh celaka, terlalu hati-hati pula maka tak dapat berbuat / berusaha apa-apa (hingga binasa dalam kehidupan).",Kta harus selalu berhati-hati dalam bertindak agar tidak gagal.,"Berhati-hati boleh, tapi harus dalam kadar yang pas. Terlalu berhati-hati tidak akan mendapatkan apa-apa. Tidak berhati-hati akan mendatangkan musibah.",1.0,b
Tidak dirauk menjeriau,Orang 1: Kenapa kamu memasak nasi di kamar mandi? Orang 2: Aku lupa membawa panci ke dapur.  Orang 1: Tidak dirauk menjeriau.,mengerjakan sesuatu yang tidak pada tempatnya.,Mengerjakan sesuatu yang tidak pada tempatnya.,Mejadi kreatif ketika sesuatu yang biasa tidak bisa digunakan.,0.0,a
Sesayat sebelanga juga,"Orang 1: Hanya segelintir orang yang datang ke acara itu, apakah tetap dilanjutkan?  Orang 2: Tentu saja, sesayat sebelanga juga.",1. meskipun hanya sebagian yang hadir namun boleh dipadakan seakan semuanya hadir; 2. cukup qorum; 3. walaupun masih ada kekurangan namun dapat diterima juga.,Acara tetap berlanjut karena semuanya sudah dipersiapkan.,Acara tetap berlanjut karena meski tidak semuanya yang hadir.,0.0,b
Sepuluh batang bertindih yang di bawah juga yang kena,"Orang 1: Aku berharap setelah perang saudara, rakyat kecil akan merasakan kebaikan yang lebih besar. Orang 2: Sayangnya, sepuluh batang bertindih yang di bawah juga yang kena.",pihak manapun yang menang dalam perang saudara maka rakyat kecil jugalah yang tetap menderita / merasakan kesusahannya.,pihak manapun yang menang dalam perang saudara maka rakyat kecil jugalah yang tetap menderita / merasakan kesusahannya.,Perang saudara ini memang akan menguntungkan pihak yang menang perang.,1.0,a
Seperti ular kena palu,"Orang 1: Kenapa kamu terlihat begitu kesal? Orang 2: Sudah berkali-kali saya mengatakan padanya untuk tidak melakukan itu, tapi dia tetap saja melakukannya! Orang 1: Lalu apa yang akan kamu lakukan sekarang? Orang 2: Tidak ada yang bisa saya lakukan. Seperti ular kena palu.",sangat marah namun tak dapat melawan.,Orang 2 sangat stress dengan kejadian ini.,Orang 2 sangat marah dan tak dapat melakukan apa-apa.,1.0,b
Seperti udang dipanggang,"Orang 1: Kamu tahu gak, tadi waktu presentasi, siapa yang salah ngomong?  Orang 2: Siapa?  Orang 1: Aku! Dan semua orang ngeh. Aku jadi malu banget.  Orang 2: Hahaha, sepertinya kamu seperti udang dipanggang ya!",seseorang yang menjadi merah padam mukanya karena beroleh malu.,Wajah orang 1 memerah karena melakukan kesalahan ketika presentasi.,Orang 1 sedih karena melakukan kesalahan ketika presentasi.,1.0,a
Seperti sirih pulang ke gagangnya,"Orang 1: Apa kabar dengan pacarmu? Orang 2: Baik-baik saja, kami akan menikah bulan depan. Orang 1: Bagus sekali, kalian memang sudah sejodoh ya? Orang 2: Ya, seperti sirih pulang ke gagangnya.",sudah sejodoh; perjodohan sudah sesuai.,Orang 2 merasa bahagia akan segera menikah.,Orang 1 merasa cocok dengan jodohnya.,1.0,b
Seperti sayur dengan rumput,Orang 1: Apa bedanya antara kedua mobil itu? Orang 2: Seperti sayur dengan rumput.,perbedaannya sangat besar; sangat berbeda.,Kedua mobil tersebut sangat berbeda.,Kedua mobil itu sangat serupa.,1.0,a
Seperti rusa masuk kampung,"Orang 1: Wah, lihat itu! Apa itu benda itu?  Orang 2: Itu adalah drone, bisa digunakan untuk pengambilan gambar dari udara.  Orang 1: Wow, aku belum pernah melihat drone sebelumnya. Seperti rusa masuk kampung.",tercengang-cengang melihat sesuatu yang baru pertama kali di lihat olehnya.,Orang 2 menjadi ingin memiliki drone.,Orang 2 tercengang melihat drone pertama kali.,1.0,b
"Seperti padi hampa, kepalanya mendongak","Orang 1: Aku merasa lebih pintar dari yang lain karena punya gelar sarjana. Orang 2: Hati-hati, jangan sampai seperti padi hampa, kepalanya mendongak.","(Seperti padi hampa, makin lama makin mendongak)  artinya orang yang tidak berpengetahuan biasanya malah suka menyombongkan diri; angkuh.",Jangan sombong karena biasanya yang sombong itu tidak berilmu.,Jangan sombong karena sombong itu perbuatan tercela.,1.0,a
Seperti orang buta kehilangan tongkat,Orang 1: Aku benar-benar tidak tahu harus bagaimana lagi.  Orang 2: Kamu seperti orang buta kehilangan tongkat.,"sangat bingung, kehilangan akal.",Orang 1 seperti banyak beban.,Orang 1 kehilangan akal dan bingung.,1.0,b
Seperti nyawa ayam,Orang 1: Aku merasa pekerjaanku di kantor tidak dihargai sama sekali. Orang 2: Mungkin karena bosmu melihat pekerjaanmu seperti nyawa ayam.,tidak dianggap penting.,Bos menganggap pekerjaan itu tidak penting.,Bos ingin mengambil pekerjaan itu.,1.0,a
"Seperti menggenggam bara, terasa hangat dilepaskan","Orang 1: Apa kamu sudah mencoba bekerja di perusahaan itu? Orang 2: Ya, tapi saya merasa tidak cocok dengan lingkungannya. Orang 1: Lalu kamu berhenti? Orang 2: Ya, seperti menggenggam bara, terasa hangat dilepaskan.","sesuatu yang dicoba-coba dahulu, bila tak suka / tak senang maka dilepaskan.",Orang 2 resign dari kantor karena tidak suka dengan orang-orang di kantor.,Orang 2 awalnya coba-coba dan menemukan dirinya tidak suka dengan kantornya. Ia pun resign.,1.0,b
Seperti menggantang asap,"Orang 1: Kamu sudah berusaha membujuk dia selama berjam-jam, tapi tetap saja dia tidak mau mendengarkanmu. Orang 2: Ya, aku merasa seperti menggantang asap.","perbuatan yang sia-sia, tidak ada gunanya.",Orang 2 merasa seperti melakukan hal yag sia-sia.,Orang 2 merasa ia sangat menyayangi orang tersebut.,1.0,a
"Patah tongkat, berjermang","Orang 1: Aku merasa putus asa karena usaha bisnisku gagal.  Orang 2: Tetap semangat, patah tongkat, berjermang.","1. bagaimanapun kesusahan yang menimpa, upaya dan usaha harus tetap dijalankan terus; 2. the show must go on.",Kita bisa mengevaluasi usaha kita.,Harus tetap melanjutkan usaha.,1.0,b
"Payah dilamun ombak, tercapai juga tanah tepi","Orang 1: Aku merasa sangat sulit untuk mencapai impianku. Orang 2: Tapi ingatlah, payah dilamun ombak, tercapai juga tanah tepi.","setelah mengalami banyak kesukaran, barulah tercapai apa yang diidam-idamkan.",Kesuksesan didapat setelah melewati kesukaran.,Kesuksesan diraih oleh orang yang bersungguh-sunguh.,1.0,a
Padi ditanam tumbuh lalang,"Orang 1: Aku sudah berusaha semaksimal mungkin tapi hasilnya masih kurang memuaskan. Orang 2: Ya, kadang hasil yang diperoleh dari usaha tidak seperti yang diharapkan. Seperti kata pepatah, 'Padi ditanam tumbuh lalang'.",1. sial sekali; bernasib malang; 2. hasil yang diperoleh dari usaha tidak seperti yang diharapkan.,Keinginan tidak sesuai dengan realita.,Bernasib sangat malang.,1.0,b
"Sarak serasa hilang, bercerai serasa mati","Orang 1: Bagaimana perasaanmu setelah berpisah dengan kekasihmu? Orang 2: Sarak serasa hilang, bercerai serasa mati.",suasana hati yang sangat rindu karena berpisah.,Sangat merindukan kekasih.,Sangat mencintai kekasih.,0.0,a
Sambil berdiang nasi masak,"Orang 1: Kamu kok bisa menyelesaikan pekerjaan itu sambil menulis tesis juga ya? Orang 2: Sambil berdiang nasi masak, bro.","1. sambil mengerjakan sesuatu, pekerjaan lain juga tersambilkan; 2. mengerjakan dua atau lebih pekerjaan.",Orang 2 bekerja sama dengan orang lain untuk menyelesaikan dua tugas.,Orang 2 melakukan dua hal di saat bersamaan.,1.0,b
Sambil berdendang biduk hilir,"Orang 1: Kamu bisa menyelesaikan pekerjaan itu sambil melakukan yang lain? Orang 2: Tentu saja, sambil berdendang biduk hilir.","1. sambil mengerjakan sesuatu, pekerjaan lain juga tersambilkan; 2. serentak mengerjakan dua atau lebih pekerj",Orang 2 melakukan dua hal di saat bersamaan.,Orang 2 bekerja sama dengan orang lain untuk menyelesaikan dua tugas.,1.0,a
"Sakit menimpa, sesal terlambat","Orang 1: Aku menyesal sudah memilih jurusan ini di kuliah.  Orang 2: Sakit menimpa, sesal terlambat.",tidak ada gunanya menyesali sesuatu yang sudah terjadi.,Lebih baik memikirkan masa depan daripada fokus di penyesalan,tidak ada gunanya menyesali sesuatu yang sudah terjadi.,0.0,b
"Satu orang makan nangka, semua kena getahnya","Orang 1: Kenapa kita semua harus dihukum karena kesalahan satu orang? Orang 2: Karena seperti kata pepatah, Satu orang makan nangka, semua kena getahnya.","seorang yang berbuat salah, yang lain terbawa-bawa salah.",Karena kesalahan dia kita semua ikut disalahkan.,Dia akan menyelesaikan masalah yang merugikan orang banyak ini.,1.0,a
Ada nyawa ada rezeki,"Orang 1: Apa kabar, apa yang kamu lakukan akhir-akhir ini?  Orang 2: Sibuk mencari pekerjaan baru, tapi belum berhasil.  Orang 1: Jangan khawatir, ada nyawa ada rezeki.",selama masih hidup maka seseorang akan tetap mendapat rezeki.,Rejeki semua orang ditanggung oleh orang lain.,Rejeki sudah ditakdirkan tuhan untuk semua makhluk yang hidup.,0.0,b
"Anak dipangku, kemenakan (keponakan) dibimbing","Orang 1: Apakah hanya anak kandung yang harus diperhatikan dengan baik? Orang 2: Tidak, anak dipangku, kemenakan (keponakan) dibimbing.",baik anak kandung maupun anak kaum kerabat harus tetap diperhatikan.,Orang 1 memahami bahwa pentingnya memperhatikan anak kandung dan keponakan.,Orang 1 memahami bahwa anak kandung dan keponakan memiliki hak yang sama dan tidak boleh dibedakan.,0.0,a
Arang habis besi binasa,"Orang 1: Sudah berapa lama kamu mencoba memperbaiki hubunganmu dengan dia?  Orang 2: Sudah setahun, tapi tetap saja tidak ada perubahan.  Orang 1: Mungkin kamu perlu mencoba cara lain?  Orang 2: Arang habis besi binasa.","sia-sia, walaupun telah mengeluarkan banyak biaya/usaha.",Hubungan Orang 2 dengan temannya membaik setelah mereka membakar api unggun bersama-sama.,"Hubungan Orang 2 dengan temannya sudah tidak bisa diapa-apakan lagi. Semua usaha berbaikan telah ia lakukan, tapi hubungan tak juga membaik.",1.0,b
Bagai tanduk diberkas,"Orang 1: Kenapa mereka tidak bisa bekerja sama? Orang 2: Sudahlah, bagai tanduk diberkas.",sukar bersatu karena berbeda paham dan pandangan.,Mereka tidak dapat bekerja sama karena mereka memiliki pandangan yang berlawanan.,Mereka tidak dapat bekerja sama karena tidak berada di kantor yang sama.,1.0,a
"Digenggam takut mati, dilepaskan takut terbang","Orang 1: Aku takut kehilangan dia, tapi aku juga takut mengambil risiko untuk menikahinya sekarang. Orang 2: Ingatlah, digenggam takut mati, dilepaskan takut terbang.","orang yang mempunyai kekasih masih muda sekali, mau dikawini masih di bawah umur, mau dilepaskan takut diambil orang.",Orang 1 harus takut kehilangan dia dan menikah sekarang.,Orang 1 tidak perlu takut kehilangan dia atau menikah sekarang.,1.0,b
"Inai tertepung, kuku tanggal","Orang 1: Bagaimana hasil proyekmu? Orang 2: Selesai sudah, tapi ternyata banyak masalah yang muncul di tengah jalan. Inai tertepung, kuku tanggal.","sesuatu yang selesai dikerjakan, tetapi ternyata ada kesukarannya.",Proyek mengalami beberapa kesulitan.,Proyek ini tidak menemui kesulitan.,1.0,a
Nasi sudah menjadi bubur,"Orang 1: Bagaimana reaksi bos-mu setelah kamu mengakui kesalahanmu? Orang 2: Kurang baik. Saya sudah mencoba menjelaskan alasan saya berbuat begitu, tetapi saya tetap diberi sangsi. Nasi sudah menjadi bubur.",Kejadian atau perbuatan yang telah terlanjur terjadi atau dilakukan.,Orang 2 masih bisa mengubah reaksi atasan.,Orang 2 tidak dapat melakukan apapun untuk mengubah reaksi bos.,1.0,b
Baji dahan pembelah batang,"Orang 1: Apa yang terjadi antara kamu dan Aji? Aku pikir kalian berdua sahabat terbaik. Orang 2: Iya, tapi dia seperti baji dahan pembelah batang.",orang kepercayaan kita yang kerap kali merugikan kita.,Aji mungkin telah menyakiti Orang 2 dengan cara tertentu.,Aji tidak menyakiti Orang 2.,1.0,a
"Nasi tak dingin, pinggan tak retak","Orang 1: Bagaimana presentasi Anda kemarin? Orang 2: Tidak begitu baik. Saya pikir banyak orang akan datang, tetapi hanya sedikit yang muncul. Orang 1: Setidaknya beberapa orang muncul. Nasi tidak dingin, piring tidak retak.","menyatakan sama-sama tak ingin (lanjutannya  tuan tak ingin, kami tak hendak).",Orang 2 seharusnya tidak senang karena hanya sedikit orang yang datang ke pembicaraan mereka.,Orang 2 harus puas karena ada orang yang mendengarkan pembicaraan mereka.,1.0,b
"Tinggi kayu ara dilangkahi, rendah bilang-bilang disuruki","Orang 1: Ibu saya menyuruh saya untuk kuliah kedokteran di universitas, tetapi saya ingin menjadi seorang akuntan. Saya ingin mengajukan keberatan terhadap ini. Orang 2: Nah, tinggi kayu ara dilangkahi, rendah bilang-bilang disuruki.","(1) harus menurut dengan patutnya, misal perihal panggilan / tutur dalam keluarga; (2) segala sesuatu yang diperbuat haruslah sesuai dengan orang yang kita hadapi.",Orang 1 harus belajar kedokteran.,Orang 1 seharusnya adalah seorang akuntan.,1.0,a
Nyamuk mati gatal tak lepas,Orang 1: Saya dengar pelaku pembakaran telah dijatuhi hukuman. Orang 2: Nyamuk mati gatal tak lepas.,"orang yang didendami sudah dijatuhi hukuman, namun dendam terhadapnya tidak juga hilang.",Orang-orang tidak lagi marah pada pelaku pembakaran.,Orang-orang masih marah pada pelaku pembakaran.,1.0,b
"Tiada kuning oleh kunyit, tiada hitam oleh arang","Orang 1: Saya mendengar mereka mempromosikan Aji sebagai direktur baru. Orang 2: Saya kagum dengan sikap Aji yang selalu tegar, bahkan dalam situasi yang menantang. Tiada kuning oleh kunyit, tiada hitam oleh arang.",1. tidak mudah terhasut; 2. tidak mudah tergiur akan pujian.,Aji tabah dan tidak mudah goyah.,Aji mudah terguncang.,1.0,a
Sudah tahu peria pahit,Orang 1: Saya mendengar orang tersebut terlibat dalam usaha bisnis yang berisiko. Orang 2: Sudah tahu peria pahit.,"1. menyesal kemudian tidak ada gunanya; 2. sudah tahu akan buruk akibatnya, masih juga dikerjak",Usaha bisnis orang tersebut akan berhasil.,Usaha bisnis orang tersebut kemungkinan besar akan gagal.,1.0,b
"Tangguk rapat, keruntung bobos","Orang 1: Saya perlu mulai mengatur keuangan saya dengan lebih baik. Orang 2: Nah, jika kamu tangguk rapat, keruntung bobos, itu pasti akan menimbulkan masalah.","penghasilan banyak, namun istri boros sehingga tidak ada lagi yang tersimpan dari penghasilan tersebut,",Orang 1 harus menjadi istri yang hemat.,Orang 1 tidak boleh meminta istrinya untuk mengurangi pengeluaran.,1.0,a
"Kalau di hutan tak ada singa, beruk rabun bisa menjadi raja","Orang 1: Semua orang dalam kelompok ini sepertinya tidak tahu apa-apa. Saya senang Aji mengambil inisiatif dan memimpin. Orang 2: Nah, kalau di hutan tak ada singa, beruk rabun bisa menjadi raja","kalau tak ada orang yang pandai, maka orang bodohpun dianggap pandai.",Aji pintar.,Aji tidak sepintar itu.,1.0,b
Seperti sayur tidak berbumbu,"Orang 1: Sudahkah kamu melihat desain baru untuk situs web? Orang 2: Ya, terlihat seperti sayur tidak berbumbu.",1. suasana hati yang hambar; 2. sesuatu yang tidak enak; tidak menarik.,Desain situs web yang baru terlihat buruk.,Desain situs web yang baru terlihat bagus.,1.0,a
Ada bunga ada lebah,"Orang 1: Sudahkah kamu mendengar tentang restoran baru di kota? Orang 2: Ya, ada bunga ada lebah.","adalah suatu tempat yang mendatangkan rezeki, pasti akan di datangi oleh banyak orang.",Restoran baru itu mungkin tidak populer.,Restoran baru itu mungkin akan populer.,1.0,b
Jalan raya titian batu,"Orang 1: Apa yang membuat budaya Indonesia begitu menarik? Orang 2: Kita memiliki banyak tradisi yang diwarisi dari nenek moyang kita, salah satunya adalah jalan raya titian batu.",adat istiadat yang lazim sejak dahulu.,Ini menarik karena sudah ada sejak lama.,Tempat itu menarik karena orang-orangnya.,0.0,a
Lonjak seperti labu dibenam,Orang 1: Apakah kamu perhatikan bagaimana dia selalu membanggakan prestasinya? Orang 2: Lonjak seperti labu dibenam.,lenggang seseorang yang menunjukkan kesombongannya.,Orang 2 tidak menyadari bahwa ia selalu membual.,Orang 2 telah memperhatikan kesombongan yang terus-menerus.,1.0,b
Gajah mati tulang setimbun,"Orang 1: Bos baru kita yang meninggal memiliki 3 anak laki-laki. Tebak siapa yang dia tinggalkan uangnya? Orang 2: Saya tidak tahu, tapi pasti jumlahnya seperti gajah mati tulang setimbun.",orang besar/kaya yang meninggal akan meninggalkan banyak harta pusaka.,"Warisan itu akan menjadi besar, terlepas dari kepada siapa warisan itu diberikan.",Warisan akan menjadi kecil.,1.0,a
"Janji sampai, sukatan penuh","Orang 1: Dokter ahli di rumah sakit telah berusaha keras untuk menyembuhkan ayah Surya. Namun, ayah Surya hanya memiliki 1 bulan tersisa. Orang 2: Sedih mendengarnya, tetapi janji sampai, sukatan penuh.",sudah sampai ajalnya.,Ayah Surya tidak akan meninggal dalam waktu dekat.,Waktunya telah tiba bagi ayah Surya untuk meninggal dunia.,1.0,b
Belalang dapat menuai,"Orang 1: Hei, apakah kamu sudah mendengar tentang gadget baru yang sedang dibicarakan semua orang? Orang 2: Ya, cukup keren, tapi ingatlah pepatah belalang dapat menuai.",sesuatu yang mudah sekali didapat sehingga menjadi tidak berharga.,"Orang-orang mungkin tidak menghargai gadget baru tersebut, karena begitu mudahnya mendapatkannya.",Orang-orang mungkin akan menghargai gadget baru.,1.0,a
Tak pandai menari dikatakan lantai yang terjungkat,"Orang 1: Kode saya terus-terusan crash, sangat menyebalkan. Orang 1: Oh, Apakah kamu menulis unit-test? Kalo itu mah tak pandai menari dikatakan lantai yang terjungkat.",diri kita yang bodoh disalahkan alat bantu yang tak baik,Orang 1 tidak bisa disalahkan atas kode buruk mereka.,Orang 1 yang harus disalahkan atas kode buruk mereka.,1.0,b
"Jika air orang disauk, ranting orang dipatah, adat orang diturut","Orang 1: Saya ingin pindah ke kota baru, tapi saya tidak tahu apakah itu akan sulit. Orang 2: Masih dalam negara yang sama, kan? Seharusnya tidak sulit. Hanya ingatlah: Jika air orang disauk, ranting orang dipatah, adat orang diturut.","jika berdiam di suatu tempat, hendaklah adat istiadat orang di tempat itu dituruti.",Orang 1 harus mematuhi adat istiadat di kota barunya.,Orang 1 seharusnya tidak mematuhi adat istiadat di kota barunya.,0.0,a
"Mati-mati berdawat biarlah hitam, mati-mati mandi biarlah basah","Orang 1: Saya merasa kewalahan dengan semua tugas yang harus saya selesaikan. Orang 2: Mati-mati berdawat biarlah hitam, mati-mati mandi biarlah basah.","kalau mengerjakan sesuatu jangan kepalang tanggung, kerjakanlah sampai selesai.",Orang 1 mungkin akan meninggalkan beberapa tugas mereka.,Orang 1 harus tetap menyelesaikan tugas-tugasnya.,0.0,b
"Lepas dari mulut harimau, masuk kedalam mulut buaya","Orang 1: Saya pikir meninggalkan pekerjaan yang penuh tekanan akan memberi saya kelegaan, tapi sekarang saya terjebak dalam hubungan yang beracun. Orang 2: Sangat disayangkan bahwa terkadang, lepas dari mulut harimau, masuk kedalam mulut buaya.","luput dari satu bahaya, jatuh kembali ke bahaya yang lain",Bukan hal yang aneh jika Orang 1 keluar dari satu situasi buruk dan masuk ke situasi buruk lainnya.,Sangat tidak biasa bagi Orang 1 untuk keluar dari satu situasi yang buruk dan masuk ke situasi yang buruk lainnya.,1.0,a
Lebih baik satu burung di tangan dari pada sepuluh burung di pohon,"Orang 1: Saya sedang mempertimbangkan untuk berhenti dari pekerjaan stabil saya untuk mengejar peluang yang lebih berisiko namun memiliki potensi lebih besar. Orang 2: Nah, ingatlah, lebih baik satu burung di tangan dari pada sepuluh burung di pohon.","Artinya lebih memiliki barang, walau sedikit tetapi pasti dibandingkan dengan barang banyak tetapi tidak pasti.",Orang 1 harus meninggalkan pekerjaannya saat ini.,Orang 1 mungkin tidak boleh meninggalkan pekerjaannya saat ini.,1.0,b
Diganjur surut bagai bertanam,"Orang 1: Saya tidak ingin belajar alat baru ini, sangat sulit. Orang 2: Jika kamu tidak belajar hal baru, kamu akan berakhir seperti yang mereka katakan diganjur surut bagai bertanam.",selalu mundur ke belakang.,Orang 1 harus mempelajari alat baru untuk mengembangkan keterampilan mereka.,Orang 1 tidak perlu mempelajari alat baru untuk tetap unggul.,1.0,a
Lembah juga yang dituruti air,"Orang 1: Sepertinya profesor terkenal mendapatkan lebih banyak sitasi, mendapatkan lebih banyak pendanaan, lebih banyak mahasiswa, lalu menghasilkan lebih banyak publikasi... Orang 2: Ya, lembah juga yang dituruti air.",orang yang kaya juga yang bertambah kaya.,Mengejutkan bagi orang yang sukses untuk mengumpulkan lebih banyak kesuksesan.,Adalah hal yang umum bagi orang yang sukses untuk mengumpulkan lebih banyak kesuksesan.,1.0,b
Gajah derum tengah rumah,"Orang 1: Siapa yang datang ke rumah ini? Orang 2: Seorang tamu, gajah derum tengah rumah.",kedatangan tamu orang besar.,Seorang tamu penting datang ke rumah.,Seorang tamu yang tidak dikenal datang ke rumah.,1.0,a
Angan-angan mengikat tubuh,Orang 1: Aku khawatir jika aku tidak lulus ujian besok.  Orang 2: Jangan khawatir terlalu banyak. Angan-angan mengikat tubuh.,bersusah hati karena memikirkan yang bukan-bukan.,Orang 1 harus terus khawatir akan gagal dalam ujian.,Orang 1 tidak boleh menambah kecemasannya dengan mengkhawatirkan kegagalan dalam ujian.,1.0,b
Bakar air ambil abunya,"Orang 1: Aku mencoba untuk memperbaiki hubungan dengan mantanku, tapi dia selalu mengabaikanku.  Orang 2: Sepertinya kamu sedang bakar air ambil abunya.",pekerjaan yang tidak akan pernah berhasil.,Orang 1 mungkin tidak akan dapat memperbaiki hubungan mereka.,Orang 1 mungkin dapat memperbaiki hubungan mereka.,1.0,a
"Menang jadi arang, kalah jadi abu","Orang 1: Aku merasa kesal karena aku kalah dalam pertengakaran dengan istriku kemarin. Aku terpaksa harus menjemput anak-anak kami dari rumah orang tuanya. Orang 2: Jangan begitu. Pertengkaran dengan orang yang kita kasihi hanyalah menang jadi arang, kalah jadi abu.","dalam pertengkaran, menang atau kalah sama-sama menderita kerugian . We win together and we lose together.",Orang 1 harus terus bertengkar dengan istrinya.,Orang 1 harus berhenti bertengkar dengan istrinya.,1.0,b
Bayang-bayang sepanjang badan,"Orang 1: Aku pingin beli mobil baru tapi harganya sangat mahal.  Orang 2: Ingatlah, prinsip bayang-bayang sepanjang badan.",belanja/pengeluaran hendaklah sesuai dengan keadaan dan kemampuannya.,Orang 1 sebaiknya tidak membeli mobil baru.,Orang 1 dapat membeli mobil baru.,1.0,a
"Tak lalu dandang di air, di gurun ditanjakkan","Orang 1: Sepertinya saya tidak bisa memotivasi karyawan baru saya. Orang 2: Apa yang sudah Anda coba? Orang 1: Taktik saya yang biasa untuk mengancam ulasan kinerja yang buruk. Apakah Anda pikir saya harus mencoba pendekatan lain? Orang 2: Tak lalu dandang di air, di gurun ditanjakkan",segala usaha dan upaya dilakukan asalkan maksud tujuan tercapai.,Orang 1 tidak boleh mencoba pendekatan baru dengan karyawan baru.,Orang 1 harus mencoba pendekatan yang berbeda dan lebih cocok dengan karyawan baru.,1.0,b
"Rusak badan karena penyakit, rusak bangsa karena laku","Orang 1: Kamu tahu, teman saya selalu berperilaku buruk dan tidak bertanggung jawab. Dia bahkan sering merusak fasilitas umum di sekitar kita. Orang 2: Rusak badan karena penyakit, rusak bangsa karena laku.",- kelakuan yang buruk akan menurunkan derajat diri sendiri.,Teman tersebut akan kehilangan posisi di antara teman-temannya karena perilaku buruknya.,Teman tersebut tidak akan kehilangan kedudukan di antara teman-temannya.,0.0,a
